fecha,descripcion,tipo,monto,saldo,id_movimiento
2025-06-01,TRANSFERENCIA DE DISTRIBUIDORA ANDINA LIMITADA RUT 77.234.567-4,ABONO,2387100,10887100,MOV-0002
2025-06-02,TRANSFERENCIA DE TRANSPORTES CORDILLERA LIMITADA RUT 77.789.012-3,ABONO,330000,11217100,MOV-0007
2025-06-03,TRANSFERENCIA DE AGRICOLA SANTA ELENA SPA RUT 79.890.123-0,ABONO,1914100,13131200,MOV-0008
2025-06-04,TRANSFERENCIA DE AGRICOLA SANTA ELENA SPA RUT 79.890.123-0,ABONO,3267100,16398300,MOV-0017
2025-06-04,ABONO CUOTA 1 CLINICA DENTAL SONRISA SPA RUT 77.012.345-3,ABONO,941820,17340120,MOV-0030
2025-06-05,TRANSFERENCIA DE IMPORTADORA PACIFICO SUR SPA RUT 77.456.789-5,ABONO,939800,18279920,MOV-0004
2025-06-05,TRANSFERENCIA DE CONSTRUCTORA VALLE VERDE LTDA RUT 78.567.890-7,ABONO,1419300,19699220,MOV-0014
2025-06-05,TRANSFERENCIA DE AGRICOLA SANTA ELENA SPA RUT 79.890.123-0,ABONO,2534400,22233620,MOV-0020
2025-06-05,TRANSFERENCIA DE CONSTRUCTORA VALLE VERDE LTDA RUT 78.567.890-7,ABONO,458600,22692220,MOV-0035
2025-06-05,TRANSFERENCIA RECIBIDA SIN GLOSA,ABONO,268400,22960620,MOV-0044
2025-06-07,PAGO CONSOLIDADO CONSTRUCTORA VALLE VERDE LTDA RUT 78.567.890-7,ABONO,791500,23752120,MOV-0029
2025-06-07,ABONO CUOTA 2 CLINICA DENTAL SONRISA SPA RUT 77.012.345-3,ABONO,1202107,24954227,MOV-0031
2025-06-08,TRANSFERENCIA DE SUPERMERCADOS EL PARRON S.A. RUT 96.345.678-6,ABONO,1952400,26906627,MOV-0003
2025-06-08,TRANSFERENCIA DE FERRETERIA INDUSTRIAL MAIPO LTDA RUT 76.901.234-6,ABONO,4319200,31225827,MOV-0009
2025-06-08,TRANSFERENCIA DE TRANSPORTES CORDILLERA LIMITADA RUT 77.789.012-3,ABONO,2903600,34129427,MOV-0016
2025-06-08,TRANSF AGRICOLA SANTA,ABONO,2507600,36637027,MOV-0022
2025-06-08,DEPOSITO EN EFECTIVO CAJA SUCURSAL,ABONO,145000,36782027,MOV-0043
2025-06-09,TRANSFERENCIA DE FERRETERIA INDUSTRIAL MAIPO LTDA,ABONO,661000,37443027,MOV-0021
2025-06-10,ABONO CUOTA 3 CLINICA DENTAL SONRISA SPA RUT 77.012.345-3,ABONO,240973,37684000,MOV-0032
2025-06-10,TRANSFERENCIA DE CONSTRUCTORA VALLE VERDE LTDA RUT 78.567.890-7,ABONO,458600,38142600,MOV-0036
2025-06-11,TRANSFERENCIA DE IMPORTADORA PACIFICO SUR SPA RUT 77.456.789-5,ABONO,3848200,41990800,MOV-0013
2025-06-12,TRANSFERENCIA DE SERVICIOS INFORMATICOS NEXO SPA RUT 76.678.901-3,ABONO,2960300,44951100,MOV-0018
2025-06-12,TRANSF LOGISTICA EXPRESS BIOBIO,ABONO,3060200,48011300,MOV-0026
2025-06-12,CARGO ARRIENDO OFICINA INMOBILIARIA RAUCO,CARGO,-850000,47161300,MOV-0042
