id_movimiento,id_documento,caso
MOV-0001,DOC-1001,exacto
MOV-0002,DOC-1002,exacto
MOV-0003,DOC-1003,exacto
MOV-0004,DOC-1004,exacto
MOV-0005,DOC-1005,exacto
MOV-0006,DOC-1006,exacto
MOV-0007,DOC-1007,exacto
MOV-0008,DOC-1008,exacto
MOV-0009,DOC-1009,exacto
MOV-0010,DOC-1010,exacto
MOV-0011,DOC-1011,exacto
MOV-0012,DOC-1012,exacto
MOV-0013,DOC-1013,desfase_fecha
MOV-0014,DOC-1014,desfase_fecha
MOV-0015,DOC-1015,desfase_fecha
MOV-0016,DOC-1016,desfase_fecha
MOV-0017,DOC-1017,desfase_fecha
MOV-0018,DOC-1018,comision_bancaria
MOV-0019,DOC-1019,comision_bancaria
MOV-0020,DOC-1020,comision_bancaria
MOV-0021,DOC-1021,comision_bancaria
MOV-0022,DOC-1022,glosa_ambigua
MOV-0023,DOC-1023,glosa_ambigua
MOV-0024,DOC-1024,glosa_ambigua
MOV-0025,DOC-1025,glosa_ambigua
MOV-0026,DOC-1026,glosa_ambigua
MOV-0027,DOC-1027,uno_a_n
MOV-0027,DOC-1028,uno_a_n
MOV-0028,DOC-1029,uno_a_n
MOV-0028,DOC-1030,uno_a_n
MOV-0028,DOC-1031,uno_a_n
MOV-0029,DOC-1032,uno_a_n
MOV-0029,DOC-1033,uno_a_n
MOV-0030,DOC-1034,n_a_1
MOV-0031,DOC-1034,n_a_1
MOV-0032,DOC-1034,n_a_1
MOV-0033,DOC-1035,n_a_1
MOV-0034,DOC-1035,n_a_1
MOV-0035,DOC-1036,exacto
MOV-0036,,pago_duplicado
MOV-0037,DOC-1037,exacto
MOV-0038,,pago_duplicado
MOV-0039,,sin_documento
MOV-0040,,sin_documento
MOV-0041,,sin_documento
MOV-0042,,sin_documento
MOV-0043,,sin_documento
MOV-0044,,sin_documento
,DOC-1038,sin_pago
,DOC-1039,sin_pago
,DOC-1040,sin_pago
,DOC-1041,sin_pago
