id_documento,tipo_dte,folio,fecha_emision,rut_cliente,razon_social,monto_neto,iva,monto_total
DOC-1002,33,1002,2025-06-01,77.234.567-4,DISTRIBUIDORA ANDINA LIMITADA,2005966,381134,2387100
DOC-1014,33,1014,2025-06-01,78.567.890-7,CONSTRUCTORA VALLE VERDE LTDA,1192689,226611,1419300
DOC-1007,33,1007,2025-06-02,77.789.012-3,TRANSPORTES CORDILLERA LIMITADA,277311,52689,330000
DOC-1008,33,1008,2025-06-03,79.890.123-0,AGRICOLA SANTA ELENA SPA,1608487,305613,1914100
DOC-1017,33,1017,2025-06-03,79.890.123-0,AGRICOLA SANTA ELENA SPA,2745462,521638,3267100
DOC-1020,33,1020,2025-06-03,79.890.123-0,AGRICOLA SANTA ELENA SPA,2133950,405450,2539400
DOC-1033,33,1033,2025-06-03,78.567.890-7,CONSTRUCTORA VALLE VERDE LTDA,311513,59187,370700
DOC-1034,33,1034,2025-06-03,77.012.345-3,CLINICA DENTAL SONRISA SPA,2004118,380782,2384900
DOC-1004,33,1004,2025-06-05,77.456.789-5,IMPORTADORA PACIFICO SUR SPA,789748,150052,939800
DOC-1036,33,1036,2025-06-05,78.567.890-7,CONSTRUCTORA VALLE VERDE LTDA,385378,73222,458600
DOC-1032,33,1032,2025-06-06,78.567.890-7,CONSTRUCTORA VALLE VERDE LTDA,353613,67187,420800
DOC-1016,33,1016,2025-06-07,77.789.012-3,TRANSPORTES CORDILLERA LIMITADA,2440000,463600,2903600
DOC-1021,33,1021,2025-06-07,76.901.234-6,FERRETERIA INDUSTRIAL MAIPO LTDA,557563,105937,663500
DOC-1003,33,1003,2025-06-08,96.345.678-6,SUPERMERCADOS EL PARRON S.A.,1640672,311728,1952400
DOC-1009,33,1009,2025-06-08,76.901.234-6,FERRETERIA INDUSTRIAL MAIPO LTDA,3629580,689620,4319200
DOC-1013,33,1013,2025-06-08,77.456.789-5,IMPORTADORA PACIFICO SUR SPA,3233782,614418,3848200
DOC-1022,33,1022,2025-06-08,79.890.123-0,AGRICOLA SANTA ELENA SPA,2107227,400373,2507600
DOC-1015,33,1015,2025-06-11,76.678.901-3,SERVICIOS INFORMATICOS NEXO SPA,2026050,384950,2411000
DOC-1018,33,1018,2025-06-12,76.678.901-3,SERVICIOS INFORMATICOS NEXO SPA,2491849,473451,2965300
DOC-1026,33,1026,2025-06-12,76.456.123-6,LOGISTICA EXPRESS BIOBIO SPA,2571597,488603,3060200
DOC-1027,33,1027,2025-06-12,96.345.678-6,SUPERMERCADOS EL PARRON S.A.,546303,103797,650100
DOC-1028,33,1028,2025-06-12,96.345.678-6,SUPERMERCADOS EL PARRON S.A.,219580,41720,261300
DOC-1024,33,1024,2025-06-13,77.012.345-3,CLINICA DENTAL SONRISA SPA,2026723,385077,2411800
DOC-1035,33,1035,2025-06-13,78.345.612-5,PANADERIA DON LUCHO EIRL,2877815,546785,3424600
DOC-1029,33,1029,2025-06-17,77.456.789-5,IMPORTADORA PACIFICO SUR SPA,639580,121520,761100
DOC-1031,33,1031,2025-06-17,77.456.789-5,IMPORTADORA PACIFICO SUR SPA,752605,142995,895600
DOC-1011,33,1011,2025-06-18,78.345.612-5,PANADERIA DON LUCHO EIRL,1468908,279092,1748000
DOC-1030,33,1030,2025-06-18,77.456.789-5,IMPORTADORA PACIFICO SUR SPA,678908,128992,807900
DOC-1037,33,1037,2025-06-18,76.678.901-3,SERVICIOS INFORMATICOS NEXO SPA,399580,75920,475500
DOC-1006,33,1006,2025-06-19,76.678.901-3,SERVICIOS INFORMATICOS NEXO SPA,3041429,577871,3619300
DOC-1010,33,1010,2025-06-20,77.012.345-3,CLINICA DENTAL SONRISA SPA,254286,48314,302600
DOC-1039,33,1039,2025-06-20,79.890.123-0,AGRICOLA SANTA ELENA SPA,399328,75872,475200
DOC-1040,33,1040,2025-06-20,76.901.234-6,FERRETERIA INDUSTRIAL MAIPO LTDA,1144622,217478,1362100
DOC-1001,33,1001,2025-06-21,76.123.456-0,COMERCIAL LOS ALERCES SPA,852017,161883,1013900
DOC-1025,33,1025,2025-06-21,78.345.612-5,PANADERIA DON LUCHO EIRL,2638992,501408,3140400
DOC-1005,33,1005,2025-06-22,78.567.890-7,CONSTRUCTORA VALLE VERDE LTDA,680084,129216,809300
DOC-1012,33,1012,2025-06-23,76.456.123-6,LOGISTICA EXPRESS BIOBIO SPA,3024538,574662,3599200
DOC-1019,33,1019,2025-06-24,77.789.012-3,TRANSPORTES CORDILLERA LIMITADA,3305798,628102,3933900
DOC-1038,33,1038,2025-06-27,77.789.012-3,TRANSPORTES CORDILLERA LIMITADA,3546134,673766,4219900
DOC-1023,33,1023,2025-06-28,76.901.234-6,FERRETERIA INDUSTRIAL MAIPO LTDA,1708235,324565,2032800
DOC-1041,33,1041,2025-06-29,77.012.345-3,CLINICA DENTAL SONRISA SPA,1194958,227042,1422000
